Name,Url,Description,Manufacture,Design,
3e Electric,http://www.3eelectric.com/,,,,
8 Fun,http://www.8funbike.com/store.asp/d=5/c=38,A Chinese Giant now with direct UK sales doing both kits and whole bikes,China,China,
Aerobic Cruiser,http://aerobiccruiser.com/,"A range of semi-recumbent machines from a firm in Memphis, US.",,,
AGOGS,http://www.agogs.com,"Czech-based company with Chinese made hub motor machines, selling in  central and western Europe. Bikes are based on well-known Bafang motor  systems. AGOGS also act as resellers of Protanium bikes.",China,China,
Akkurad,http://www.akkurad.com/,Manufacturer of electric-assist velo mobiles and add-on kits.,,,
Amped Bikes,http://www.ampedbikes.com/,,,,
Ansmann,http://www.ansmann.de/,"Maker of batteries, drive systems and retrofit kits.",,,
Antec,http://www.antec.nl/,Hub-motor pedelecs.,China,Netherlands,
Anthrotech,http://www.anthrotech.de/,Recumbent tricycle manufacturer with electric-assist option.,,,
AS Bikes,http://www.folding-bikes.net/asbikes/,Budget folders.,China,China,
Ave,http://www.ave-bikes.de/,German-made city-styled pedelecs.,Taiwan,Germany,
Avon,http://www.avoncycles.com/,Mainly moped style electric bikes and scooters serving the Indian market.,,,
Azor,http://www.azor.nl/,Hub motor systems fitted to classic Dutch style Omafiets or ‘granny bikes’,,,
Babboe,http://www.babboe.co.uk/,Dutch cargo bikes in the ‘bakfiets’ style.,,,
Bangkok Cycle Industrial Co Ltd,http://www.la-bicycle.com/,,,,
Batavus,http://www.batavus.com/,"Dutch style city bikes – part of the Accell group, so extremely similar in style to Sparta.",Netherlands,Netherlands,
Batribikes,http://www.batribike.com/,Range of hub motor bikes.,China,China,
Bauer,http://www.bauerbike.de/,Hub-motor pedelecs plus Bosch crank motor options,Multiple,Germany,
Bear Print,http://www.bearprintelectricbikes.co.uk/,Chinese hub motor machines with a 2 year battery guarantee.,,,
Beat Bikes,http://www.beatbikes.com/,Chinese made mini-folding bikes,China,China,
BigFish,http://www.bigfishbike.com/,Folder with the Japanese Sunstar kit added.,Multiple,Italy,
Binbike,http://www.binbike.com/,Belgian-based manufacturer of crystalyte hub-motored town bikes.,China,Belgium,
Bottechia,http://www.bottecchia.com/begreen/,Chinese style pedelecs. www.cicliadriatica.it,,,
Busettii,http://www.busettii.com/,,,,
Bridgestone,http://www.bscycle.co.jp/en/,High quality Japanese pedelecs.,Japan,Japan,
Bronx,http://www.bronxcycles.com/,"Reasonably priced, lightweight UK bikes.",Taiwan,United Kingdom,
Byocycles,http://www.byocycles.com/,Range of hub motor bikes.,China,China,
Cleanairbike,http://www.cleanairbike.com/,A highly unusual fuel-cell powered cargo bike.,,,
Claud Butler,http://www.falconcycles.co.uk/,Hub motor style bikes from a longstanding UK manufacturer.,China,United Kingdom,
Corratec,http://www.corratec.com/,German designed pedelec with Bosch crank drive motors,Germany,Japan,
Cube,http://www.cube.eu/,High tech models featuring wireless technology. Storck hub motor technology used under license.,,,
Cutting Edge,http://www.cepv.net/,,China,China,
Cycles Maximus,http://www.cyclesmaximus.com/,Powered tricycles for heavy duty business style use. Redesigned for 2013.,United Kingdom,United Kingdom,
Cytronex,http://www.cytronex.com/,"Using their own bespoke electrics with the excellent Tongxin friction hub motor, these are some of raciest, lightest bikes around.",China,United Kingdom,
Dahon,http://www.dahon.com/,The folding Dahon Boost uses a Sunstar pedelec system.,China,China,
Dawes,http://www.dawescycles.com/,Budget models from a UK company that outsources manufacture to the Far East.,,,
Diamant,http://www.diamantrad.com/,Bionx and Bosch based bikes,,,
Di Blasi,http://www.diblasi.co.uk/,Electric folding trike!,Italy,Italy,
DK City ExPro,http://www.dkcity.com/,Taiwanese hub motor machines.,Taiwan,Taiwan,
Drag Bicycles,http://www.dragbicycles.com/,East European company with a couple of Sanyo hub motor powered models,,,
Dreirad,http://www.dreiradbau.de/,"German designer and maker of taxi-tricycles, with power assist options",Germany,Germany,
Easybike,http://www.easybike.nl/,"Machines with Chinese hub motors, designed and finished in Holland",China,Netherlands,
EcoBike,http://www.ecobike.com/,Spanish retailers of Asian made bikes.,,,
Ecolo Cycle,http://www.ecolo-cycle.com/Home_en.htm,A range of Asian made machines aimed at the Canadian market.,,,
Eden Bikes,http://www.eden-bicycles.com,Nice simple looking bikes from Taiwan with a Dutch feel,,,
E-motion,http://www.bh-emotion.com/,Panasonic pedelec system,Japan,Spain,
Estelle,http://www.elektrorad-service.de/,"A range of city, touring and trekking bikes fitted with high-quality Heinzmann hub motors and also ‘specials’ such as the unique Smike with detachable sidecar.",Germany,Germany,
Everest Bikes,http://www.everestbikes.co.uk/,Chinese hub motor machines,,,
Ezee,http://www.ezeebike.com/,"High quality, powerful hub motor bikes. Add on kit available too. UK distributor Cycle Ezee http://www.cyclezee.com/index.html",,,
EZ pedaler,http://www.ezpedaler.com/,US-branded Chinese hub motor machines.,China,China,
Focus Bikes,http://www.focus-bikes.com/,Small range of Kalkhoff and Bosch powered bikes,Multiple,Germany,
Freego,http://freegoelectricbikes.com/,UK branded Chinese hub motor machines,China,China,
FST,http://www.fst-biketech.com/,Hub motor design and manufacture.,China,Japan,
Gazelle,http://www.gazelle.nl/,High quality Dutch bikes. Hub and crank drives.,Netherlands,Netherlands,
Geobyev,http://www.geobyev.com/,Chinese hub motor machines,China,China,
Gepida,http://www.gepida.hu/,Hungarian makers using Bosch technology plus their own design.,Multiple,Hungary,
Giant,http://www.giant-bicycles.com/,Twist range of pedelecs with hub motors,China,Taiwan,
Gitane,http://www.gitane.com/en/,French take on the Panasonic crank drive.,Japan,France,
GoCycle,http://www.gocycle.com/,"Stylish, unique British design. Demountable, with magnesium frame.",,,
Goericke,http://www.goericke-rad.de/,Pedelecs with hub motors and Bosch crank motors,,,
Grace,http://www.grace.de/,"High end, made to order germanic ‘superbikes’",,,
Greens,http://www.greens-bikes.de/,Pedelecs with Bosch motors.,,,
Greenspark,http://www.greenspark.it/,Italian branded Chinese style machines,,,
Gruber Assist,http://www.gruberassist.com/,"Innovative electric drive housed in frame, powering through the bottom bracket.",,,
Haibikes,"http://www.haibike.de/en/Haibike-94,3084.html",Bosch motor with high quality components. Trekking and mountain bike models.,Germany,Germany,
Harbin,http://www.harbin5star.nl/,Dutch branded Chinese style bikes,,,
Hase,http://www.hasebikes.com/,Protanium kit fitted to unusual tandem recumbent.,Germany,China,
Hebb,http://www.hebbebikes.com/,Hub motor machines.,,,
Helkama,http://www.helkamavelox.fi/,Finnish-made pedelecs using the outstanding Panasonic crank drive system.,Japan,Finland,
Hercules,http://www.hercules-bikes.de/,"A range of hub motor pedelecs, including a folder.",China,Germany,
Hero Eco,http://www.hercules-bikes.de/,"Umbrella company from India where it makes electric scooters. Includes Fast4ward, A2B and Ultramotor electric bikes",,,
Herskind & Herskind,http://www.herskind-herskind.com/,Classic city bikes with a designer’s touch.,Multiple,Denmark,
Honda,http://www.honda-sundiro.com/,Single speed lead acid model now in the UK,Japan,Japan,
Hongdu,http://www.hongducz.com/,Heavy looking Chinese style machines from a former military aircraft manufacturer.,,,
HPVelotechnik,http://www.hpvelotechnik.com/,Recumbent makers offering models ready fitted with BionX systems.,Canada,Germany,
Ideation,http://www.ideation.com.tw/,,,,
